"","Species","Records","Min_CH_Ha","Max_CH_Ha","Full_CH_Ha","Median_CH_Ha"
"189","Echinacea angustifolia",1026,204509855.179012,230828365.905735,2298563100.18937,228295744.490248
"190","Eleocharis palustris",3449,2383496135.60535,2474588383.34155,23970990915.4831,2395913334.72219
"191","Eleocharis parvula",192,1451716251.90191,1521366020.75439,14848325589.6725,1484209340.66772
"192","Eleocharis rostellata",484,1211043302.60381,1288518764.99018,12885187014.8372,1288498053.74268
"193","Elodea canadensis",1056,915101629.186524,947363345.295605,9473633452.95605,945642217.573344
"194","Encelia nutans",18,2261615.92465508,2835373.23383892,28353732.3383892,2822037.99270783
"195","Enneapogon desvauxii",390,2016112144.0671,2406222452.38726,24062224523.8726,2405613224.45483
"196","Epilobium anagallidifolium",605,119429812.037081,376628526.917106,1828681607.94412,182868160.794412
"197","Epilobium oregonense",136,55433941.5972085,114978385.609794,1149783856.09794,114872132.453101
"198","Epilobium palustre",1354,2317997173.97905,2386196682.34592,23738462590.6473,2373642598.66137
"199","Equisetum arvense",8510,375972123.098528,738133611.2514,3853100244.63339,385310024.463339
"200","Equisetum laevigatum",2226,924935170.868235,964538790.096245,9645387941.91137,963195912.526152
"201","Eragrostis hypnoides",845,4239679206.96626,4302504765.24279,43025047652.4279,4302373549.53243
"202","Eragrostis lutescens",11,15011073.9948977,58399057.8006453,618918580.014563,39800858.823489
"203","Eragrostis pectinacea",2736,2670561899.7744,3015821802.19562,30158218021.9562,3015777213.00336
"204","Eriastrum diffusum",703,103260790.569528,107076593.733111,1070765937.33111,106920681.306411
"205","Erigeron acris",669,971265250.505372,1101605764.30978,10827725576.3692,1077686649.6794
"206","Erigeron concinnus",433,120105749.412134,134914879.264261,1339270999.05534,133711224.776011
"207","Erigeron engelmannii",72,46977558.2242413,56956764.3086008,570089211.132265,56754708.2472555
"208","Erigeron glabellus",756,451692926.912536,519120645.925186,5132138360.05941,513136706.19908
"209","Erigeron grandiflorus",90,144003284.203253,237882367.229586,1587204157.12912,158397284.682039
"210","Erigeron kachinensis",5,NA,NA,181225.071000122,NA
"211","Erigeron lanatus",50,32767709.532021,75955136.1610488,759551361.610488,75418659.994761
"212","Erigeron pinnatisectus",139,9956838.60771711,15975953.878174,159761657.430189,15962195.7569949
"213","Erigeron utahensis",102,15874993.3304515,20250198.52634,202501985.2634,20155108.3822964
"214","Erigeron vagus",50,63138457.6319667,67919176.1595276,679191761.595276,67864971.3975463
"215","Erigeron vetensis",179,20700371.9381946,26429427.7932146,265356342.748614,26049087.5795443
"216","Eriogonum contortum",16,76075.6622801113,92290.9990529083,925150.330094666,84757.3954951721
"217","Eriogonum exilifolium",13,446328.441118747,480047.285837466,4840300.57189002,477070.586409289
"218","Eriogonum hookeri",72,49089215.6338382,52567288.0285416,525672956.014686,52188068.1222719
