MAJORGROUP,SELEMENTID,GNAME,SNAME,SCOMNAME,GRANK,SRANK,ENDEMIC,USESA,COSTATUS,OTHERSTATUS,CNHPSENS,AQDEP,TRACK
Natural Communities,364767,Artemisia tridentata ssp. wyomingensis / Achnatherum pinetorum Shrubland,Artemisia tridentata ssp. wyomingensis  /  Achnatherum pinetorum Shrubland,-,GNR,S2,N,-,-,-,N,N,Fully Tracked
Natural Communities,364660,Artemisia tridentata ssp. wyomingensis / Balsamorhiza sagittata Shrubland,Artemisia tridentata ssp. wyomingensis  /  Balsamorhiza sagittata Shrubland,-,G5,S5,N,-,-,-,N,N,Partial Tracking
Natural Communities,364550,Artemisia tridentata ssp. wyomingensis / Bouteloua gracilis Great Basin Shrubland,Artemisia tridentata ssp. wyomingensis  /  Bouteloua gracilis Great Basin Shrubland,-,G5,S5,N,-,-,-,N,N,Partial Tracking
Natural Communities,24842,Artemisia tridentata ssp. wyomingensis / Elymus albicans Shrubland,Artemisia tridentata ssp. wyomingensis  /  Elymus albicans Shrubland,Western Slope Sagebrush Shrublands,G4,SU,N,-,-,-,N,N,Fully Tracked
Natural Communities,364517,Artemisia tridentata ssp. wyomingensis / Elymus elymoides Shrubland,Artemisia tridentata ssp. wyomingensis  /  Elymus elymoides Shrubland,-,G4G5,S4S5,N,-,-,-,N,N,Partial Tracking
Natural Communities,364796,Artemisia tridentata ssp. wyomingensis / Festuca idahoensis Shrubland,Artemisia tridentata ssp. wyomingensis  /  Festuca idahoensis Shrubland,-,GNR,S4S5,N,-,-,-,N,N,Partial Tracking
Natural Communities,364751,Artemisia tridentata ssp. wyomingensis / Hesperostipa comata Colorado Plateau Shrubland,Artemisia tridentata ssp. wyomingensis  /  Hesperostipa comata Colorado Plateau Shrubland,-,GNR,S2S3,N,-,-,-,N,N,Fully Tracked
Natural Communities,24981,Artemisia tridentata ssp. wyomingensis / Leymus ambiguus Shrubland,Artemisia tridentata ssp. wyomingensis  /  Leymus ambiguus Shrubland,Mixed Foothill Shrublands,G2,S2,N,-,-,-,N,N,Fully Tracked
Natural Communities,364770,Artemisia tridentata ssp. wyomingensis / Leymus salinus Shrubland,Artemisia tridentata ssp. wyomingensis  /  Leymus salinus Shrubland,-,GNR,S2S3,N,-,-,-,N,N,Fully Tracked
Natural Communities,24664,Artemisia tridentata ssp. wyomingensis / Pascopyrum smithii Shrub Grassland,Artemisia tridentata ssp. wyomingensis  /  Pascopyrum smithii Shrub Grassland,Sagebrush Bottomland Shrublands,G4,S1,N,-,-,-,N,N,Fully Tracked
