"SYMBOL","SYNONYM_SYMBOL","JOIN_SYMBOL","FULL_NAME","GENUS","SPECIES","FAMILY"
"AGAUP","AGAUP2","AGAUP2","Agoseris aurantiaca (Hook.) Greene ssp. purpurea (A. Gray) G.W. Douglas","Agoseris","aurantiaca","Asteraceae"
"AGBR4",NA,"AGBR4","Agrostemma brachyloba (Fenzl) Hammer","Agrostemma","brachyloba","Caryophyllaceae"
"AGBR4","AGGR5","AGGR5","Agrostemma gracilis Boiss.","Agrostemma","gracilis","Caryophyllaceae"
"AGCR",NA,"AGCR","Agropyron cristatum (L.) Gaertn.","Agropyron","cristatum","Poaceae"
"AGCRC",NA,"AGCRC","Agropyron cristatum (L.) Gaertn. ssp. cristatum","Agropyron","cristatum","Poaceae"
"AGCRP8",NA,"AGCRP8","Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev","Agropyron","cristatum","Poaceae"
"AGCRP8","AGCR3","AGCR3","Agropyron cristatiforme Sarkar","Agropyron","cristatiforme","Poaceae"
"AGCRP8","AGPE6","AGPE6","Agropyron pectinatum (M. Bieb.) P. Beauv.","Agropyron","pectinatum","Poaceae"
"AGCRP8","AGPE5","AGPE5","Agropyron pectiniforme Roem. & Schult.","Agropyron","pectiniforme","Poaceae"
"AGDE2",NA,"AGDE2","Agropyron desertorum (Fisch. ex Link) Schult.","Agropyron","desertorum","Poaceae"
"AGDE2","AGCRD","AGCRD","Agropyron cristatum (L.) Gaertn. ssp. desertorum (Fisch. ex Link) Á. Löve","Agropyron","cristatum","Poaceae"
"AGDE2","AGCRD2","AGCRD2","Agropyron cristatum (L.) Gaertn. var. desertorum (Fisch. ex Link) Dorn","Agropyron","cristatum","Poaceae"
"AGERA2",NA,"AGERA2","Ageratina Spach","Ageratina","Spach","Asteraceae"
"AGEX",NA,"AGEX","Agrostis exarata Trin.","Agrostis","exarata","Poaceae"
"AGEX","AGAE2","AGAE2","Agrostis aenea Trin.","Agrostis","aenea","Poaceae"
"AGEX","AGAL2","AGAL2","Agrostis alaskana Hultén","Agrostis","alaskana","Poaceae"
"AGEX","AGAM2","AGAM2","Agrostis ampla Hitchc.","Agrostis","ampla","Poaceae"
"AGEX","AGAS4","AGAS4","Agrostis asperifolia Trin.","Agrostis","asperifolia","Poaceae"
"AGEX","AGEXM3","AGEXM3","Agrostis exarata Trin. ssp. minor (Hook.) C.L. Hitchc.","Agrostis","exarata","Poaceae"
"AGEX","AGEXM","AGEXM","Agrostis exarata Trin. var. minor Hook.","Agrostis","exarata","Poaceae"
