"SYMBOL","BINOMIAL_NAT","BINOMIAL_ACKER","DURATION","NATIVITY"
"ASCO8","Astragalus coltonii","Astragalus coltonii","Perennial","Native"
"ASCOC8","Astragalus coltonii var. coltonii","Astragalus coltonii var. coltonii","Perennial","Native"
"ASCOM2","Astragalus coltonii var. moabensis","Astragalus coltonii var. moabensis","Perennial","Native"
"ASCO12","Astragalus convallarius","Astragalus convallarius","Perennial","Native"
"ASCR2","Astragalus crassicarpus","Astragalus crassicarpus","Perennial","Native"
"ASCR4","Astragalus cronquistii","Astragalus cronquistii","Perennial","Native"
"ASDE11","Astragalus debequaeus","Astragalus debequaeus","Perennial","Native"
"ASDE3","Astragalus desperatus","Astragalus desperatus","Perennial","Native"
"ASDED","Astragalus desperatus var. desperatus","Astragalus desperatus var. desperatus","Perennial","Native"
"ASDEN","Astragalus desperatus var. neeseae","Astragalus desperatus var. neeseae","Perennial","Native"
"ASDE4","Astragalus deterior","Astragalus deterior","Perennial","Native"
"ASDE5","Astragalus detritalis","Astragalus detritalis","Perennial","Native"
"ASDR3","Astragalus drummondii","Astragalus drummondii","Perennial","Native"
"ASDU2","Astragalus duchesnensis","Astragalus duchesnensis","Perennial","Native"
"ASEA2","Astragalus eastwoodiae","Astragalus eastwoodiae","Perennial","Native"
"ASEU2","Astragalus eucosmus","Astragalus eucosmus","Perennial","Native"
